"","rank","year","continent","economy","port","port_label","lon","lat","volume"
"288",NA,"2009","North_America","United States","Seattle/Tacoma","Seattle/Tacoma",-122.3088165,47.4502499,NA
"289",47,"2009","Europe","Turkey","Ambarli (Istanbul)","Istanbul",28.7110539,40.9767748,1836
"290",49,"2009","Africa","Morocco","Tanger-Med (Tangiers)","Tangiers",-5.7155548,35.7239191,1222
"291",42,"2009","North_America","United States","Savannah","Savannah",-81.0998342,32.0835407,2356
"292",46,"2009","South_America","Panama","Balboa","Balboa",-117.924131,33.607795,2012
"293",36,"2009","Europe","Italy","Gioia Tauro","Gioia Tauro",15.8988669,38.4262258,2857
"294",31,"2009","Africa","Egypt","Port Said","Port Said",32.3018661,31.2652893,3300
"295",29,"2009","Asia","Oman","Salalah","Salalah",54.1065864,17.0506675,3490
"296",48,"2009","Asia","Taiwan","Keelung","Keelung",121.7391833,25.1276033,1578
"297",41,"2009","North_America","Canada","Vancouver","Vancouver",-123.1207375,49.2827291,2492
"298",43,"2009","Europe","Malta","Malta Freeport","Malta Freeport",14.537637,35.816287,2260
"299",39,"2009","Asia","Japan","Yokohama","Yokohama",139.6380256,35.4437078,2555
"300",45,"2009","Asia","Japan","Nagoya","Nagoya",136.906398,35.1814464,2113
"301",2,"2008","Asia","China","Shanghai","Shanghai",121.473701,31.230416,27980
"302",1,"2008","Asia","Singapore","Singapore","Singapore",103.819836,1.352083,29918
"303",4,"2008","Asia","China","Shenzhen","Shenzhen",114.057865,22.543096,21414
"304",3,"2008","Asia","Hong Kong","Hong Kong","Hong Kong",114.109497,22.396428,24248
"305",7,"2008","Asia","China","Ningbo-Zhoushan","Ningbo/Z-shan",121.9880433,29.9016199,11226
"306",5,"2008","Asia","South Korea","Busan","Busan",129.0756416,35.1795543,13425
"307",10,"2008","Asia","China","Qingdao","Qingdao",120.382609,36.067108,10320
"308",8,"2008","Asia","China","Guangzhou","Guangzhou",113.264385,23.12911,11001
"309",6,"2008","Asia","United Arab Emirates","Jebel Ali (Dubai)","Dubai",55.0272904,24.9857145,11827
"310",14,"2008","Asia","China","Tianjin","Tianjin",117.200983,39.084158,8500
"311",9,"2008","Europe","Netherlands","Rotterdam","Rotterdam",4.4777325,51.9244201,10784
"312",15,"2008","Asia","Malaysia","Port Klang","Port Klang",101.39283,2.999852,7970
"313",12,"2008","Asia","Taiwan","Kaohsiung","Kaohsiung",120.3014353,22.6272784,9677
"314",23,"2008","Asia","China","Dalian","Dalian",121.614682,38.914003,4503
"315",11,"2008","Europe","Germany","Hamburg","Hamburg",9.9936818,53.5510846,9737
"316",13,"2008","Europe","Belgium","Antwerp","Antwerp",4.4024643,51.2194475,8663
