IDELST;NOM_AGENCE;NUM_AGENCE;ADRESSE1_AGENCE;ADRESSE2_AGENCE;CP_COMMUNE_AGENCE;NIVEAU;CP;ville;Long;Lat;NCOMMUNE;IRIS_code;idexel
F0F6F0F0F2F4F94040404040404040;FEUQUIERES EN VIMEU;322613619;;RUE VICTOR HUGO;80210 FEUQUIERES EN VIMEU;6;80210;FEUQUIERES EN VIMEU;1.594864;50.062254;80;803080000;249
F0F6F0F0F2F5F04040404040404040;MERS LES BAINS;227280569;;29 RUE MARCEL HOLLEVILLE;80350 MERS LES BAINS;6;80350;MERS LES BAINS;1.38631;50.06706;80;805330000;250
F0F6F0F0F2F5F24040404040404040;GAMACHES;322612779;;2 T RUE CHARLES DE GAULLE;80220 GAMACHES;6;80220;GAMACHES;1.56169;49.98369;80;803730000;252
F0F6F0F0F2F5F34040404040404040;POIX DE PICARDIE;322903988;;15 PLACE DE LA REPUBLIQUE;80290 POIX DE PICARDIE;6;80290;POIX DE PICARDIE;1.98128;49.77506;80;806300000;253
F0F6F0F0F2F5F44040404040404040;HORNOY LE BOURG;322903309;;4 RUE D AIRAINES;80640 HORNOY LE BOURG;6;80640;HORNOY LE BOURG;1.902884;49.847321;80;804430000;254
F0F6F0F0F2F5F54040404040404040;BEAUCAMPS LE VIEUX;322903722;;8 RUE DE LA LIBERATION;80430 BEAUCAMPS LE VIEUX;6;80430;BEAUCAMPS LE VIEUX;1.78006;49.84313;80;800620000;255
F0F6F0F0F2F5F64040404040404040;OISEMONT;322253822;;8 RUE ROGER SALENGRO;80140 OISEMONT;6;80140;OISEMONT;1.76322;49.95643;80;806060000;256
F0F6F0F0F2F5F74040404040404040;RUE;322252188;;27 AVENUE DES FRERES CAUDRON;80120 RUE;6;80120;RUE;1.673572;50.271427;80;806880000;257
F0F6F0F0F2F5F84040404040404040;LE CROTOY;322273480;;11 PLACE JEANNE D ARC;80550 LE CROTOY;6;80550;LE CROTOY;1.627788;50.214706;80;802280000;258
F0F6F0F0F2F6F04040404040404040;SAINT RIQUIER;322282469;;8 RUE DE L HOPITAL;80135 ST RIQUIER;6;80135;ST RIQUIER;1.9465;50.13438;80;807160000;260
F0F6F0F0F2F6F14040404040404040;SAINT VALERY SUR SOMME;322602719;;20 QUAI DU ROMEREL;80230 ST VALERY SUR SOMME;6;80230;ST VALERY SUR SOMME;1.6355;50.18706;80;807210000;261
F0F6F0F0F2F6F34040404040404040;VIGNACOURT;322394077;;151 RUE GODARD DUBUC;80650 VIGNACOURT;6;80650;VIGNACOURT;2.196902;50.011967;80;807930000;263
F0F6F0F0F3F0F04040404040404040;BEAUVAIS CENTRE;344061919;;16 PLACE JEANNE HACHETTE;60000 BEAUVAIS;6;60000;BEAUVAIS;2.082895;49.43018;60;600570102;300
F0F6F0F0F3F0F14040404040404040;BEAUVAIS AGEL;344143500;;4 RUE MAURICE SEGONDS;60000 BEAUVAIS;6;60000;BEAUVAIS;2.075138;49.421052;60;600570704;301
